date,store,item,sales
2013-01-01,5,1,11
2013-01-01,9,47,6
2013-01-01,3,1,19
2013-01-01,1,39,25
2013-01-01,5,37,12
2013-01-01,5,41,11
2013-01-02,6,45,32
2013-01-02,4,41,9
2013-01-02,4,45,40
2013-01-02,6,9,17
2013-01-02,8,47,16
2013-01-02,5,49,13
2013-01-02,3,46,46
2013-01-02,9,31,37
2013-01-03,9,29,53
2013-01-03,1,39,29
2013-01-03,6,18,36
2013-01-03,7,2,13
2013-01-03,1,28,57
2013-01-03,3,18,53
2013-01-03,6,11,31
2013-01-03,2,25,63
2013-01-03,3,6,32
2013-01-03,8,27,19
2013-01-04,9,13,52
2013-01-04,6,43,22
2013-01-05,4,5,5
2013-01-05,8,41,15
2013-01-05,8,32,23
2013-01-05,10,3,22
2013-01-05,3,20,31
2013-01-05,6,31,27
2013-01-06,5,13,41
2013-01-06,9,15,45
2013-01-07,3,14,34
2013-01-07,7,25,27
2013-01-07,2,2,27
2013-01-07,8,48,40
2013-01-07,9,35,31
2013-01-08,7,36,20
2013-01-08,4,49,15
2013-01-08,10,47,13
2013-01-08,10,49,14
2013-01-08,9,40,17
2013-01-09,9,16,12
2013-01-09,7,41,17
2013-01-10,2,49,15
2013-01-10,3,36,45
2013-01-10,1,15,47
2013-01-10,6,44,11
2013-01-10,2,39,33
2013-01-10,5,33,36
2013-01-11,9,40,25
2013-01-11,10,45,49
2013-01-11,8,3,15
2013-01-11,9,24,42
2013-01-11,4,18,45
2013-01-11,10,23,17
2013-01-11,10,48,36
2013-01-11,4,13,45
2013-01-12,6,12,33
2013-01-12,8,5,4
2013-01-12,10,48,46
2013-01-12,9,44,18
2013-01-12,6,19,20
2013-01-12,8,18,54
2013-01-12,5,1,8
2013-01-12,6,15,40
2013-01-12,7,46,19
2013-01-12,5,37,15
2013-01-13,5,24,28
2013-01-13,10,24,48
2013-01-13,1,43,28
2013-01-13,3,40,18
2013-01-14,9,23,17
2013-01-14,5,21,12
2013-01-14,4,35,36
2013-01-14,6,48,13
2013-01-14,10,20,22
2013-01-14,5,35,25
2013-01-15,2,7,41
2013-01-15,2,38,55
2013-01-15,2,18,57
2013-01-16,10,48,43
2013-01-16,7,2,13
2013-01-16,2,50,46
2013-01-16,10,32,27
2013-01-16,7,30,14
2013-01-16,6,18,30
2013-01-17,7,14,23
2013-01-17,9,33,47
2013-01-17,8,39,29
2013-01-17,4,50,40
2013-01-17,1,42,20
2013-01-17,4,13,48
2013-01-18,10,36,47
2013-01-18,1,2,29
2013-01-19,9,41,12
2013-01-19,5,27,8
2013-01-19,10,16,15
2013-01-19,3,32,26
2013-01-20,9,49,19
2013-01-20,1,34,17
2013-01-20,9,12,57
2013-01-20,6,40,8
2013-01-20,1,29,47
2013-01-21,9,50,43
2013-01-21,10,31,29
2013-01-21,1,34,5
2013-01-22,9,8,34
2013-01-22,6,4,5
2013-01-22,6,14,22
2013-01-22,6,8,39
2013-01-22,5,15,30
2013-01-22,1,40,15
2013-01-23,1,50,28
2013-01-23,7,35,22
2013-01-23,5,15,25
2013-01-23,1,39,17
2013-01-23,5,27,4
2013-01-24,10,32,30
2013-01-25,5,41,9
2013-01-25,10,20,31
2013-01-26,7,37,12
2013-01-26,10,18,67
2013-01-26,2,17,21
2013-01-26,10,37,17
2013-01-26,6,39,15
2013-01-26,10,39,26
2013-01-26,2,47,20
2013-01-27,2,36,88
2013-01-27,4,23,12
2013-01-27,3,32,38
2013-01-27,4,7,38
2013-01-27,8,24,47
2013-01-27,8,35,47
2013-01-28,2,25,48
2013-01-28,4,18,48
2013-01-28,4,7,29
2013-01-28,2,48,27
2013-01-28,6,43,20
2013-01-28,4,10,57
2013-01-28,1,41,10
2013-01-28,4,9,34
2013-01-29,4,42,29
2013-01-29,1,27,9
2013-01-29,9,47,11
2013-01-29,9,49,18
2013-01-29,9,45,35
2013-01-29,10,32,32
2013-01-30,7,32,18
2013-01-30,10,37,17
2013-01-30,5,30,24
2013-01-30,8,34,11
2013-01-30,9,33,38
2013-01-30,1,4,8
2013-01-30,5,20,23
2013-01-31,4,14,45
2013-01-31,5,7,26
2013-01-31,2,20,25
2013-01-31,3,4,13
2013-01-31,2,41,17
2013-01-31,1,25,46
2013-01-31,6,48,21
2013-01-31,4,27,17
2013-01-31,3,40,20
2013-02-01,5,27,11
2013-02-01,4,34,16
2013-02-01,1,15,52
2013-02-02,4,38,51
2013-02-02,6,5,9
2013-02-02,7,6,29
2013-02-02,1,21,27
2013-02-02,3,28,73
2013-02-02,6,34,19
2013-02-02,10,43,38
2013-02-02,5,38,41
2013-02-03,2,45,80
2013-02-03,3,42,40
2013-02-03,2,38,80
2013-02-03,2,10,87
2013-02-03,10,34,13
2013-02-04,9,22,41
2013-02-04,9,39,23
2013-02-04,5,50,16
2013-02-04,10,19,24
2013-02-04,8,7,32
2013-02-05,3,8,40
2013-02-05,8,48,34
2013-02-05,6,7,21
2013-02-05,8,23,15
2013-02-05,9,4,10
2013-02-05,1,28,46
2013-02-05,7,40,11
2013-02-05,7,18,31
2013-02-05,2,11,48
2013-02-05,2,30,30
2013-02-05,8,30,38
2013-02-06,4,12,47
2013-02-07,7,20,23
2013-02-07,9,10,49
2013-02-07,8,29,54
2013-02-07,6,22,39
2013-02-07,4,13,49
2013-02-08,9,12,61
2013-02-08,3,21,28
2013-02-08,9,50,44
2013-02-08,9,25,59
2013-02-08,7,19,21
2013-02-08,4,16,24
2013-02-08,1,29,47
2013-02-09,7,47,12
2013-02-09,8,49,23
2013-02-09,3,42,34
2013-02-09,1,21,24
2013-02-09,7,44,14
2013-02-09,4,46,42
2013-02-09,1,3,24
2013-02-09,6,6,22
2013-02-10,3,49,23
2013-02-10,2,40,29
2013-02-10,6,35,40
2013-02-10,6,9,24
2013-02-10,2,4,28
2013-02-11,4,50,36
2013-02-12,3,9,38
2013-02-12,5,3,22
2013-02-12,8,23,27
2013-02-12,2,46,41
2013-02-13,5,14,29
2013-02-13,4,38,45
2013-02-13,4,3,26
2013-02-13,1,3,21
2013-02-13,6,36,32
2013-02-13,9,43,35
2013-02-14,2,18,78
2013-02-14,3,17,27
2013-02-14,1,47,12
2013-02-14,5,36,33
2013-02-14,7,47,13
2013-02-14,8,28,52
2013-02-15,5,3,22
2013-02-15,5,24,31
2013-02-15,4,43,30
2013-02-16,6,14,33
2013-02-16,9,45,69
2013-02-16,3,8,72
2013-02-16,4,18,65
2013-02-16,10,26,43
2013-02-17,7,20,30
2013-02-17,10,8,76
2013-02-17,5,27,13
2013-02-17,4,39,35
2013-02-17,6,48,27
2013-02-17,10,13,69
2013-02-17,9,5,13
2013-02-17,6,31,34
2013-02-18,10,8,51
2013-02-18,1,26,22
2013-02-18,3,11,41
2013-02-19,3,38,45
2013-02-19,2,46,43
2013-02-20,6,45,30
2013-02-20,2,17,25
2013-02-20,2,35,61
2013-02-20,9,16,18
2013-02-20,5,12,36
2013-02-20,8,14,38
2013-02-21,3,23,29
2013-02-21,2,1,9
2013-02-21,7,26,18
2013-02-21,7,48,23
2013-02-21,8,50,52
2013-02-21,7,23,15
2013-02-22,8,17,29
2013-02-22,3,22,58
2013-02-22,5,8,34
2013-02-22,7,29,31
2013-02-22,6,8,38
2013-02-22,8,35,48
2013-02-23,6,45,27
2013-02-23,1,26,31
2013-02-24,8,24,48
2013-02-24,9,43,31
2013-02-24,9,18,64
2013-02-24,6,14,30
2013-02-24,5,48,31
2013-02-25,7,2,22
2013-02-25,5,1,8
2013-02-25,3,26,19
2013-02-25,10,45,44
2013-02-25,6,6,21
2013-02-25,3,4,11
2013-02-25,3,14,26
2013-02-25,2,39,36
2013-02-25,4,39,21
2013-02-26,2,18,68
2013-02-26,8,31,33
2013-02-26,8,46,45
2013-02-26,10,28,55
2013-02-27,1,26,25
2013-02-27,1,18,35
2013-02-27,7,21,22
2013-02-27,9,40,20
2013-02-27,1,39,18
2013-02-27,5,17,11
2013-02-28,4,5,6
2013-02-28,4,25,55
2013-02-28,8,24,50
2013-02-28,10,39,33
2013-02-28,6,37,16
2013-02-28,3,36,49
2013-02-28,3,8,56
2013-02-28,5,10,28
2013-02-28,6,5,15
2013-02-28,7,47,11
2013-03-01,9,47,23
2013-03-01,8,36,82
2013-03-01,3,21,40
2013-03-01,9,7,58
2013-03-01,2,28,78
2013-03-01,10,11,67
2013-03-01,3,47,13
2013-03-01,6,18,70
2013-03-01,7,22,46
2013-03-02,7,13,45
2013-03-02,9,17,27
2013-03-02,5,38,47
2013-03-02,4,4,17
2013-03-03,4,48,49
2013-03-03,1,25,69
