SALE_CD,REAL_POWER,EQUIP_ID,MOLD_POS,IN_RADIUS,OUT_RADIUS,MFG_DT,CP,AX,MOLD_IN_TOP,MOLD_IN_BOT,MOLD_OUT_TOP,MOLD_OUT_BOT,variable,y
SALES 0,0,EQUIP1,8,-6.4889,6.5811,3/23/2021,,,CORE1 A 02. 0570,CORE1 A 01. P3+3,CORE1 A 05. M0075,CORE1 A 8A. D-00,POWER1,0.12
SALES 1,-6.5,EQUIP2,1,-6.3564,7.4551,3/23/2021,,,CORE1 B 02. 0550,CORE1 B 01. P2+1,CORE1 B 02. M1050,CORE1 B 02. C-10,POWER1,-6.25
SALES 2,0,EQUIP1,2,-7.3246,7.3802,3/25/2021,,,CORE2 C 03. 0660,CORE2 C 03. P1+0,CORE2 C 04. M0000,CORE2 C 04. A-00,POWER1,0.12
SALES 3,-7.5,EQUIP2,6,-6.36,7.6877,3/25/2021,,,CORE1 B 02. 0550,CORE1 B 01. P2+1,CORE1 B 02. M1250,CORE1 B 02. C-12,POWER1,-7.5
SALES 4,-0.75,EQUIP3,1,-7.3411,7.5236,4/9/2021,,,CORE3 C 01. 0660,CORE3 C 01. OK+2,CORE3 C 03. M0125,CORE3 C 03. B-01,POWER1,-0.87
SALES 5,-4,EQUIP4,8,-6.4829,7.1508,4/16/2021,,,CORE1 A 02. 0570,CORE1 A 01. P1+2,CORE1 A 05. M0650,CORE1 A 08. C-06,POWER1,-4
SALES 6,-8.5,EQUIP5,6,-6.48,8.2939,9/14/2020,,,CORE1 A 02. 0570,CORE1 A 01. P3+2,CORE1 A 05. M1550,CORE1 A 08. C-15,POWER1,-8.25
SALES 6,-2,EQUIP6,1,-6.4792,7.0236,9/11/2020,,,CORE1 A 02. 0570,CORE1 A 01. P3+3,CORE1 A 05. M0500,CORE1 A 08. A-05,POWER1,-2
SALES 7,0,EQUIP7,6,-6.442,7.4246,9/14/2020,,,CORE2 C 03. 0660,CORE2 C 03. P1-1,CORE2 C 04. M0025,CORE2 C 04. B-00,POWER1,-0.12
SALES 6,-1.5,EQUIP8,6,-7.3463,7.4578,9/15/2020,,,CORE1 A 02. 0570,CORE1 A 01. P3+2,CORE1 A 05. M0400,CORE1 A 08. A-04,POWER1,-1.5
SALES 8,-4.5,EQUIP6,8,-6.4901,7.4592,8/18/2020,,,CORE1 A 02. 0570,CORE1 A 01. P3+1,CORE1 A 05. M0925,CORE1 A 08. B-09,POWER1,-4.5
SALES 9,-1.5,EQUIP9,3,-6.4964,6.936,8/17/2020,,,CORE1 A 02. 0570,CORE1 A 01. P2+2,CORE1 A 05. M0400,CORE1 A 08. A-04,POWER1,-1.5
SALES 10,-1.25,EQUIP10,3,-6.4624,6.8157,8/20/2020,,,CORE1 A 02. 0570,CORE1 A 01. P2+2,CORE1 A 05. M0300,CORE1 A 8A. A-03,POWER1,-1.25
